Serving HTTP on 0.0.0.0 port 9011 (http://0.0.0.0:9011/) ...
10.203.15.236 - - [12/Nov/2024 13:25:51] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.203.15.236 - - [12/Nov/2024 13:25:51] "GET /script.js HTTP/1.1" 304 -
10.203.15.236 - - [12/Nov/2024 13:25:51] "GET /res/service_logo.png HTTP/1.1" 304 -
10.203.15.236 - - [12/Nov/2024 13:25:51] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.203.15.236 - - [12/Nov/2024 13:26:23] "GET /res/DKU_LOGO.png HTTP/1.1" 304 -
10.203.15.236 - - [12/Nov/2024 13:28:59] "GET / HTTP/1.1" 304 -
10.200.14.175 - - [12/Nov/2024 18:39:12] "GET / HTTP/1.0" 200 -
----------------------------------------
Exception occurred during processing of request from ('10.200.14.175', 41408)
Traceback (most recent call last):
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/socketserver.py", line 683, in process_request_thread
    self.finish_request(request, client_address)
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 1304, in finish_request
    self.RequestHandlerClass(request, client_address, self,
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 668, in __init__
    super().__init__(*args, **kwargs)
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/socketserver.py", line 747, in __init__
    self.handle()
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 433, in handle
    self.handle_one_request()
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 401, in handle_one_request
    self.raw_requestline = self.rfile.readline(65537)
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/socket.py", line 705, in readinto
    return self._sock.recv_into(b)
ConnectionResetError: [Errno 104] Connection reset by peer
----------------------------------------
10.200.14.175 - - [12/Nov/2024 18:40:28] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:40:28] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:40:28] code 501, message Unsupported method ('OPTIONS')
10.200.14.175 - - [12/Nov/2024 18:40:28] "OPTIONS / HTTP/1.1" 501 -
10.200.14.175 - - [12/Nov/2024 18:40:28] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:40:28] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:40:29] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:40:30] code 404, message File not found
10.200.14.175 - - [12/Nov/2024 18:40:30] "GET /ajax-api/2.0/mlflow/registered-models/search?order_by=name+ASC HTTP/1.1" 404 -
10.200.14.175 - - [12/Nov/2024 18:40:30] code 400, message Bad request syntax ('\\x16\\x03\\x01\\x02\\x00\\x01\\x00\\x01ü\\x03\\x03_\\x08lÅWì\\x9dÙ\\x00¨©Y;VÞ#')
10.200.14.175 - - [12/Nov/2024 18:40:30] "\x16\x03\x01\x02\x00\x01\x00\x01ü\x03\x03_\x08lÅWì\x9dÙ\x00¨©Y;VÞ#" 400 -
10.200.14.175 - - [12/Nov/2024 18:40:39] code 400, message Bad HTTP/0.9 request type ('t3')
10.200.14.175 - - [12/Nov/2024 18:40:39] "t3 12.2.1" 400 -
10.200.14.175 - - [12/Nov/2024 18:40:42] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:40:42] "GET / HTTP/1.1" 200 -
10.200.14.175 - - [12/Nov/2024 18:40:42] code 404, message File not found
10.200.14.175 - - [12/Nov/2024 18:40:42] "GET /api/hpe-restapi.json HTTP/1.1" 404 -
----------------------------------------
Exception occurred during processing of request from ('10.200.14.175', 52374)
Traceback (most recent call last):
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/socketserver.py", line 683, in process_request_thread
    self.finish_request(request, client_address)
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 1304, in finish_request
    self.RequestHandlerClass(request, client_address, self,
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 668, in __init__
    super().__init__(*args, **kwargs)
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/socketserver.py", line 747, in __init__
    self.handle()
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 433, in handle
    self.handle_one_request()
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 401, in handle_one_request
    self.raw_requestline = self.rfile.readline(65537)
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/socket.py", line 705, in readinto
    return self._sock.recv_into(b)
ConnectionResetError: [Errno 104] Connection reset by peer
----------------------------------------
----------------------------------------
Exception occurred during processing of request from ('10.200.14.175', 48808)
Traceback (most recent call last):
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/socketserver.py", line 683, in process_request_thread
    self.finish_request(request, client_address)
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 1304, in finish_request
    self.RequestHandlerClass(request, client_address, self,
  File "/home/Glitterccc/miniconda3/envs/chatdku/lib/python3.10/http/server.py", line 668, in __init__
    super().__init__(*args, **kwargs)
